Skrapp,Country
"Aarhus V, Central Region, Denmark",Denmark
"Abbeville, Alabama",United States
"Abbeville, Louisiana",United States
"Abbotsford, British Columbia, Canada",Canada
"Abbott Park, IL   United States",United States
"Abdurrahmangazi Mah., ?stanbul Province, Turkey",Turkey
"Aberdeen, Hong Kong",Hong Kong
"Aberdeen, Maryland",United States
"Aberdeen, Royaume-Uni",United Kingdom
"Aberdeen, United Kingdom",United Kingdom
"Aberdeen, Washington",United States
"Abergele, Conwy, Royaume-Uni",United Kingdom
"Aberkenfig, Bridgend, United Kingdom",United Kingdom
"Abilene, Texas",United States
"Abilene, Texas Area",United States
"Abilene, TX   UNITED STATES",United States
"Abingdon, Maryland",United States
"Abingdon, Oxfordshire, United Kingdom",United Kingdom
"Abingdon, PA   UNITED STATES",United States
"Abingdon, Virginia",United States
"Abington, PA   UNITED STATES",United States
"Absecon, New Jersey",United States
"Abtwil SG, Canton of St. Gallen, Switzerland",Switzerland
Abu Dhabi,Abu Dhabi
"Abu dhabi, ae",Abu Dhabi
"Accident, Maryland",United States
"Accrington, Lancashire, United Kingdom",United Kingdom
"Acheson,    CANADA",Canada
"Acklam, Middlesbrough, Royaume-Uni",United Kingdom
"Acre Area, Israel",Israel
"Acton, MA   UNITED STATES",United States
"Acton, Massachusetts",United States
"Acworth, GA   United States",United States
"Acworth, Georgia",United States
ad,Unknown
"Ad Dakhiliyah Region, Oman",Sultanate of Oman
"Ada, MI   UNITED STATES",United States
"Ada, Michigan",United States
"Ada, Oklahoma",United States
"Adams Center, New York",United States
"Addison, Illinois",United States
"Addison, Texas",United States
"Addison, TX   UNITED STATES",United States
"Addlestone, Surrey, United Kingdom",United Kingdom
"Adelaide, Australia",Australia
"Adelaide, South Australia, Australia",Australia
"Adelphia, NJ   UNITED STATES",United States
"Adliswil, Canton of Zürich, Switzerland",Switzerland
"Adrian, Georgia",United States
"Adrian, Michigan",United States
"Advance, North Carolina",United States
Afghanistan,Afghanistan
Afrique du Sud,South Africa
"Afton, Wyoming",United States
"Agawam, Massachusetts",United States
"Agniesebuurt, South Holland Province, Netherlands",Netherlands
"Agoura Hills, CA   UNITED STATES",United States
"Agoura Hills, California",United States
"Agrate Brianza, Lombardy, Italy",Italy
"Ahmedabad Area, India",India
"Ahmedabad, Gujarat, Inde",India
"Ahmedabad, Gujarat, India",India
"Aigle, Canton of Vaud, Switzerland",Switzerland
"Aiken, South Carolina",United States
"Air Port City, il",United States
"Airdrie, Alberta, Canada",Canada
"Aire-la-Ville, Canton of Geneva, Switzerland",Switzerland
"Airmyn, E Riding of Yorkshire, Royaume-Uni",United Kingdom
"Airport City, Tel Aviv",Israel
"Airway Heights, Washington",United States
"Aitkin, Minnesota",United States
"Aix-en-Provence, Provence-Alpes-Côte d?Azur, France",France
"Ajax, Ontario, Canada",Canada
"Åkarp, Skåne County, Sweden",Sweden
"Åkersberga, Stockholm County, Sweden",Sweden
"Akron, OH   UNITED STATES",United States
"Akron, Ohio",United States
"Al Batinah Region, Oman",Sultanate of Oman
"Alabaster, Alabama",United States
"Alacant Area, Spain",Spain
"Alachua, Florida",United States
"Alameda, California",United States
"Alamo, CA   United States",United States
"Alamo, California",United States
"Alamogordo, New Mexico",United States
"Albacete, Castilla-La Mancha, Spain",Spain
"Alban, Ontario, Canada",Canada
Albania,Republic of Albania
Albanie,Republic of Albania
"Albany, California",United States
"Albany, Georgia",United States
"Albany, Georgia Area",United States
"Albany, New York",United States
"Albany, New York Area",United States
"Albany, NY   UNITED STATES",United States
"Albany, Oregon",United States
"Albemarle, North Carolina",United States
"Alberta, AB   CANADA",Canada
"Alberta, Canada",Canada
"Albertville, Minnesota",United States
"Al-Bireh, ps",Palestine
"Alblasserdam, South Holland Province, Netherlands",Netherlands
"Albuquerque, New Mexico",United States
"Albuquerque, New Mexico Area",United States
"Albuquerque, NM   United States",United States
"Albury, Australia",Australia
"Alcester, Warwickshire, United Kingdom",United Kingdom
"Alcobendas, Madrid, Spain",Spain
"Aldbourne, Wiltshire, Royaume-Uni",United Kingdom
"Aldergrove, British Columbia, Canada",Canada
"Alderholt, Dorset, Royaume-Uni",United Kingdom
"Alderley Edge, Cheshire, Royaume-Uni",United Kingdom
"Alderley Edge, Cheshire, United Kingdom",United Kingdom
"Aldie, Virginia",United States
"Aldridge, West Midlands, United Kingdom",United Kingdom
"Alessandria Area, Italy",Italy
"Alexander City, Alabama",United States
"Alexandria, Kentucky",United States
"Alexandria, Louisiana Area",United States
"Alexandria, Minnesota",United States
"Alexandria, Ohio",United States
"Alexandria, VA   UNITED STATES",United States
"Alexandria, Virginia",United States
"Alexandrie et alentours, Italie",Italy
Algeria,Algeria
Algeria area,Algeria
Algérie,Algeria
"Algiers Mdn (Ali Khodja), Algiers Province, Algeria",Algeria
"Algonquin, IL   UNITED STATES",United States
"Alicante/Alacant, Valencian Community, Spain",Spain
"Alice, Texas",United States
"Alingsas, Suède",Sweden
"Alingsas, Sweden",Sweden
"Alingsås, Västra Götaland County, Sweden",Sweden
"Aliso Viejo, CA   UNITED STATES",United States
"Aliso Viejo, California",United States
"Alkmaar, North Holland Province, Netherlands",Netherlands
"Allahabad Area, India",India
"Allegan, Michigan",United States
Allemagne,Germany
"Allen Park, Michigan",United States
"Allen, Texas",United States
"Allen, TX",United States
"Allen, TX   UNITED STATES",United States
"Allendale, New Jersey",United States
"Allendorf, Hessen, Germany",Germany
"Allentown, PA   UNITED STATES",United States
"Allentown, Pennsylvania",United States
"Allentown, Pennsylvania Area",United States
"Allison Park, Pennsylvania",United States
"Alloa, Clackmannanshire, United Kingdom",United Kingdom
"Allschwil, Canton of Basel-Landschaft, Switzerland",Switzerland
"Allston, Massachusetts",United States
"Allyn, Washington",United States
"Almancil, Faro, Portugal",Portugal
"Almelo,    Netherlands",Netherlands
"Almelo, OV   NETHERLANDS",Netherlands
"Almelo, Overijssel Province, Netherlands",Netherlands
"Almere Buiten, Flevoland Province, Netherlands",Netherlands
"Almere Stad Area, Netherlands",Netherlands
"Almere Stad, Flevoland Province, Netherlands",Netherlands
"Almería Area, Spain",Spain
"Almonte, Andalusia, Spain",Spain
"Alnö, Västernorrland County, Sweden",Sweden
"Alpena, South Dakota",United States
"Alpharetta, GA   UNITED STATES",United States
"Alpharetta, Georgia",United States
"Alpine, UT   UNITED STATES",United States
"Alsbach-Hähnlein, Hessen, Germany",Germany
"Alta, Finnmark, Norway",Norway
"Älta, Stockholm County, Sweden",Sweden
"Altadena, California",United States
"Altamonte Springs, FL   UNITED STATES",United States
"Alte Di Montecchio Maggiore, Veneto, Italy",Italy
"Alton, Hampshire, Royaume-Uni",United Kingdom
"Alton, Illinois",United States
"Altona North, Victoria, Australia",Australia
"Altona, Illinois",United States
"Altoona, Pennsylvania",United States
"Altoona, Pennsylvania Area",United States
"Altrincham, Greater Manchester, Royaume-Uni",United Kingdom
"Altrincham, Greater Manchester, United Kingdom",United Kingdom
"Älvängen, Västra Götaland County, Sweden",Sweden
Alvaro Obregon,Mexico
"Älvdalen, Dalarna County, Sweden",Sweden
"Alvin, Texas",United States
"Älvsjö, Stockholm County, Sweden",Sweden
"Amarillo, Texas",United States
"Amarillo, Texas Area",United States
"Ambala, Haryana, India",India
"Amberley, Gloucestershire, Royaume-Uni",United Kingdom
"Amberley, Gloucestershire, United Kingdom",United Kingdom
"Amberson, Pennsylvania",United States
"Ambler, PA   UNITED STATES",United States
"Ambler, Pennsylvania",United States
"Amelia, OH   UNITED STATES",United States
"Ameno, Piedmont, Italy",Italy
"Amerfsoort, Netherlands",Netherlands
"American Fork, Utah",United States
"Americana, São Paulo, Brazil",Brazil
"Americana, São Paulo, Brésil",Brazil
"Amersfoort PO Box or antwoordnummer, Utrecht Province, Netherlands",Netherlands
"Amersfoort,    NETHERLANDS",Netherlands
"Amersfoort, Utrecht Province, Netherlands",Netherlands
"Amersham, Buckinghamshire, Royaume-Uni",United Kingdom
"Ames, Iowa",United States
"Amesbury, MA   UNITED STATES",United States
"Amherst, Massachusetts",United States
"Amherstburg, Ontario, Canada",Canada
"Amityville, NY   UNITED STATES",United States
"Amman Governorate, Jordan",Jordan
"Amory, Mississippi",United States
"Amos, Quebec, Canada",Canada
"Ampliacion Granada, Mexico City, Mexico",Mexico
"Ampthill, Bedfordshire, United Kingdom",United Kingdom
"Amstelveen noord, North Holland Province, Netherlands",Netherlands
"Amstelveen zuid, Bovenkerk, North Holland Province, Netherlands",Netherlands
"Amstelveen,    NETHERLANDS",Netherlands
"Amstelveen, NH   NETHERLANDS",Netherlands
"Amsterdam Area, Netherlands",Netherlands
"Amsterdam Buitenveldert, North Holland Province, Netherlands",Netherlands
"Amsterdam IJburg, North Holland Province, Netherlands",Netherlands
"Amsterdam Oud-West, North Holland Province, Netherlands",Netherlands
"Amsterdam Oud-Zuid en Rivierenbuurt, North Holland Province, Netherlands",Netherlands
"Amsterdam,    NETHERLANDS",Netherlands
"Amsterdam, New York",United States
"AMSTERDAM, NH   NETHERLANDS",Netherlands
"Amsterdam, NH   NETHERLANDS",Netherlands
"Amsterdam, nl",Netherlands
"Amsterdam, Noord Holland",Netherlands
"Amsterdam, North Holland Province, Netherlands",Netherlands
"Amsterdam-Oost, North Holland Province, Netherlands",Netherlands
"Amsterdam-Zuidoost, North Holland Province, Netherlands",Netherlands
"Anacortes, Washington",United States
"Anaheim Hills, CA   UNITED STATES",United States
"Anaheim, CA   UNITED STATES",United States
"Anaheim, California",United States
"AncÃ´ne et alentours, Italie",Italy
"Ancaster,    Canada",Canada
"Ancaster, Ontario, Canada",Canada
"Anchorage, AK   UNITED STATES",United States
"Anchorage, Alaska",United States
"Anchorage, Alaska Area",United States
"Ancona Area, Italy",Italy
"Ancône et alentours, Italie",Italy
"Anderson, South Carolina",United States
Andorra,Unknown
"Andover, Hampshire, Royaume-Uni",United Kingdom
"Andover, MA   UNITED STATES",United States
"Andover, Massachusetts",United States
"Andover, New Hampshire",United States
"Andover, New Jersey",United States
"Andover, Ohio",United States
"Angel Fire, New Mexico",United States
"Ängelholm, Suède",Sweden
"Angelholm, Sweden",Sweden
"Angers Area, France",France
"Angers, Pays de la Loire, France",France
"Angier, North Carolina",United States
"Angleton, Texas",United States
"Angmering, West Sussex, Royaume-Uni",United Kingdom
Angola,Angola
"Angola, Indiana",United States
"Angwin, California",United States
"Ankara, Turkey",Turkey
"Ankara, Turquie",Turkey
"Ankeny, Iowa",United States
"Ann Arbor, MI   UNITED STATES",United States
"Ann Arbor, Michigan",United States
"Annandale, New Jersey",United States
"Annandale, VA   UNITED STATES",United States
"Annandale, Virginia",United States
"Annapolis, Maryland",United States
"Annapolis, MD   UNITED STATES",United States
"Annecy, Rhône-Alpes, France",France
"Annemasse, Rhône-Alpes, France",France
"Annville, Pennsylvania",United States
"Anthony, Kansas",United States
"Antibes, Provence-Alpes-Côte d?Azur, France",France
"Antigo, Wisconsin",United States
Antilles néerlandaises,Unknown
"Antioquia Area, Colombia",Colombia
"Antony, Île-de-France, France",France
"Antwerp Area, Belgium",Belgium
"Antwerp Berchem, Flanders, Belgium",Belgium
"Antwerpen Berchem, Flandre, Belgique",Belgium
"Antwerpen Wilrijk, Flandre, Belgique",Belgium
"Antwerpen, Flanders, Belgium",Belgium
"Antwerpen, Flandre, Belgique",Belgium
"Anzoátegui Area, Venezuela",Venezuela
"Aosta et alentours, Italie",Italy
"Apeldoom,    NETHERLANDS",Netherlands
"Apeldoorn Area, Netherlands",Netherlands
"Apeldoorn, Gelderland Province, Netherlands",Netherlands
"Apex, NC   UNITED STATES",United States
"Apex, North Carolina",United States
"Apollo Beach , FL   UNITED STATES",United States
"Apopka, Florida",United States
"Appenzell, Canton of Appenzell Innerrhoden, Switzerland",Switzerland
"Apple Valley, California",United States
"Appleton, WI   UNITED STATES",United States
"Appleton, Wisconsin",United States
"Appley Bridge, Lancashire, United Kingdom",United Kingdom
"Appomattox, Virginia",United States
"Aptos, California",United States
"Aquitaine, France",France
"AraÃ§atuba Area, Brazil",Brazil
"Arab, Alabama",United States
Arabie Saoudite,Saudi Arabia
"Aramon, Languedoc-Roussillon, France",France
"Araras, São Paulo, Brésil",Brazil
"Araruama Area, Brazil",Brazil
"Arboga, Västmanland County, Sweden",Sweden
"Arbon, Canton de Thurgovie, Suisse",Switzerland
"Arcadia, CA   UNITED STATES",United States
"Arcadia, California",United States
"Arcata, California",United States
ArcelorMittal SA,Unknown
"Archbold, Ohio",United States
"Arden Hills, MN",United States
"Ardleigh, Essex, Royaume-Uni",United Kingdom
"Ardmore, PA   United States",United States
"Åre, Jämtland County, Sweden",Sweden
"Arezzo Area, Italy",Italy
"Arezzo et alentours, Italie",Italy
Argentina,Argentina
Argentine,Argentina
"Argyle, Texas",United States
"Arkansas City, Kansas",United States
"Arlington , VA   UNITED STATES",United States
"Arlington Heights, IL   UNITED STATES",United States
"Arlington Heights, Illinois",United States
"Arlington, Massachusetts",United States
"Arlington, Tennessee",United States
"Arlington, Texas",United States
"Arlington, TX   UNITED STATES",United States
"Arlington, VA   UNITED STATES",United States
"Arlington, Virginia",United States
Armenia,Armenia
Arménie,Armenia
"Armonk, New York",United States
"Armonk, New York, NY",United States
"ARNHEM,    NETHERLANDS",Netherlands
"Arnhem, Gelderland Province, Netherlands",Netherlands
"Arnold, Maryland",United States
"Arnold, MO   United States",United States
"Arona, Piedmont, Italy",Italy
"Aroneanu, Ia?i County, Romania",Romania
"Arrington, Cambridgeshire, Royaume-Uni",United Kingdom
"Årslev, Southern Region, Denmark",Denmark
"Artarmon, New South Wales, Australia",Australia
"Artesia, New Mexico",United States
Aruba,Unknown
"Arundel Dc, Queensland, Australia",Australia
"Arvada, CO   UNITED STATES",United States
"Arvada, Colorado",United States
"Arviat, Nunavut, Canada",Canada
"Asarum, Blekinge County, Sweden",Sweden
"Asbach-Bäumenheim, Bavaria, Germany",Germany
"Asbury Park, New Jersey",United States
"Asbury, NJ   UNITED STATES",United States
"Aschaffenburg, Bavaria, Germany",Germany
"Ascot, Berkshire, Royaume-Uni",United Kingdom
"Ascot, Berkshire, United Kingdom",United Kingdom
"Ashaway, Rhode Island",United States
"Ashburn, VA   United States",United States
"Ashburn, Virginia",United States
"Ashby de la Zouch, Leicestershire, Royaume-Uni",United Kingdom
"Asheboro, North Carolina",United States
"Asheville, NC   United States",United States
"Asheville, North Carolina",United States
"Asheville, North Carolina Area",United States
"Ashfield, New South Wales, Australia",Australia
"Ashford Hill, Hampshire, Royaume-Uni",United Kingdom
"Ashford, Kent, Royaume-Uni",United Kingdom
"Ashford, Surrey, Royaume-Uni",United Kingdom
"Ashkelon Area, Israel",Israel
"Ashland, Kentucky",United States
"Ashland, MA   UNITED STATES",United States
"Ashland, Missouri",United States
"Ashland, OH   UNITED STATES",United States
"Ashland, Ohio",United States
"Ashland, Pennsylvania",United States
"Ashland, VA   UNITED STATES",United States
"Ashland, Wisconsin",United States
"Ashtead, Surrey, United Kingdom",United Kingdom
"Ashville, Ohio",United States
"Asker, Akershus, Norway",Norway
"Asnières-sur-Seine, Île-de-France, France",France
"Asola, Lombardy, Italy",Italy
"Aspås, Jämtland County, Sweden",Sweden
"Aspen, Colorado",United States
"Asse Kobbegem, Flanders, Belgium",Belgium
"Asse Kobbegem, Flandre, Belgique",Belgium
"Astbury, Cheshire, Royaume-Uni",United Kingdom
"Asten, North Brabant Province, Netherlands",Netherlands
"Asti Area, Italy",Italy
"Aston, Pennsylvania",United States
"Astoria, New York",United States
at,Unknown
"Athens, GA   UNITED STATES",United States
"Athens, Georgia",United States
"Athens, Georgia Area",United States
"Athens, Ohio",United States
"Atibaia, São Paulo, Brésil",Brazil
Atizapan de Zaragoza,Unknown
"Atlanta , GA   UNITED STATES",United States
"Atlanta, GA   UNITED STATES",United States
"Atlanta, Georgia",United States
"Atlantic Beach, FL   UNITED STATES",United States
"Atlantic Beach, North Carolina",United States
"Atlatna, GA   UNITED STATES",United States
"Attleboro Falls, Massachusetts",United States
"Attleboro, Massachusetts",United States
"Atwater, California",United States
"Atwater, Ohio",United States
"Aubin Grove, Western Australia, Australia",Australia
"Aubonne, Canton of Vaud, Switzerland",Switzerland
"Auburn Hills, MI   UNITED STATES",United States
"Auburn Hills, Michigan",United States
"Auburn, Alabama",United States
"Auburn, California",United States
"Auburn, MA   UNITED STATES",United States
"Auburn, Maine",United States
"Auburn, New York",United States
"Auburn, Washington",United States
"Auburndale, Massachusetts",United States
"Auckland, New Zealand",New Zealand
"Audubon, PA   UNITED STATES",United States
"Augsburg Area, Germany",Germany
"Augusta, GA   UNITED STATES",United States
"Augusta, Georgia",United States
"Augusta, Georgia Area",United States
"Augusta, Maine",United States
"Aurora, CO   UNITED STATES",United States
"Aurora, Colorado",United States
"Aurora, IL   United States",United States
"Aurora, Illinois",United States
"Aurora, OH   UNITED STATES",United States
"Aurora, Ohio",United States
"Aust-Agder County, Norway",Norway
"Aust-Agder, NorvÃ¨ge",Norway
"Aust-Agder, Norvege",Norway
"Austin , TX   UNITED STATES",United States
"Austin, Texas",United States
"Austin, Texas Area",United States
"Austin, TX   UNITED STATES",United States
"Austin, TX   UNITED STATES",United States
Australia,Australia
Australie,Australia
"Australie-Occidentale, Australie",Australia
Austria,Austria
Austria area,Austria
Autres,Unknown
Autriche,Austria
"Auvergne, France",France
"Avellino Area, Italy",Italy
"Avellino et alentours, Italie",Italy
"Avening, Gloucestershire, Royaume-Uni",United Kingdom
"Aventura, FL   United States",United States
"Avesta, Suède",Sweden
"Avignon Area, France",France
"Avignon, Provence-Alpes-Côte d?Azur, France",France
"Avon Lake, OH   United States",United States
"Avon, Connecticut",United States
"Avon, CT   UNITED STATES",United States
"Avon, Indiana",United States
"Avon, Minnesota",United States
"Avon, Ohio",United States
"Avondale, Arizona",United States
"Avondale, Pennsylvania",United States
"Avranches, Basse-Normandie, France",France
"Aylesford, Kent, United Kingdom",United Kingdom
"Ayr, South Ayrshire, United Kingdom",United Kingdom
Azerbaidjan,Azerbaijan
Azerbaïdjan,Azerbaijan
Azerbaijan,Azerbaijan
"Azilda, Ontario, Canada",Canada
"Azle, Texas",United States
"Baar, Canton de Zoug, Suisse",Switzerland
"Baar, Canton of Zug, Switzerland",Switzerland
"Baarn, Utrecht Province, Netherlands",Netherlands
"Babson Park, MA   UNITED STATES",United States
"Bacaetava, São Paulo, Brésil",Brazil
"Bachhagel, Bavaria, Germany",Germany
"Bad Axe, Michigan",United States
"Bad Dürrheim, Baden-Württemberg, Germany",Germany
"Bad Homburg vor der Höhe, Hessen, Germany",Germany
"Bad Nauheim, Hessen, Germany",Germany
"Bad Säckingen, Baden-Württemberg, Germany",Germany
"Bad Wimpfen, Baden-Württemberg, Germany",Germany
"Bad Wörishofen, Bavaria, Germany",Germany
"Baden, Canton of Aargau, Switzerland",Switzerland
"Baden, Lower Austria, Austria",Austria
"Baden, Ontario, Canada",Canada
"Baden-Baden, Baden-Württemberg, Germany",Germany
"Bagneux, Île-de-France, France",France
"Bagnolo In Piano, Emilia-Romagna, Italy",Italy
Bahamas,Bahamas
"Bahawalpur City, Southern Punjab Multan, Pakistan",Pakistan
Bahrain,Bahrain
BahreÃ¯n,Unknown
Bahreïn,Bahrain
"Baildon, West Yorkshire, Royaume-Uni",United Kingdom
"Bailly, Île-de-France, France",France
"Bainbridge Island, WA   UNITED STATES",United States
"Bainbridge Island, Washington",United States
"Bakersfield, California",United States
"Bakersfield, California Area",United States
"Bala Cynwud, PA   UNITED STATES",United States
"Bala Cynwyd, PA   UNITED STATES",United States
"Baldham, Bavaria, Germany",Germany
"Baldock, Hertfordshire, United Kingdom",United Kingdom
"Bâle, Canton de Bâle-Ville, Suisse",Switzerland
"Ballarat Central, Victoria, Australia",Australia
"Ballarat, Victoria, Australia",Australia
"Ballinafad, Ontario, Canada",Canada
"Ballston Lake, NY   UNITED STATES",United States
"Ballston Spa, New York",United States
"Ballwin, Missouri",United States
"Ballwin, MO   United States",United States
"Bålsta, Uppsala County, Sweden",Sweden
"Baltimore, Maryland",United States
"Baltimore, Maryland Area",United States
"Baltimore, MD",United States
"Baltimore, MD   United States",United States
"Baltonsborough, Somerset, Royaume-Uni",United Kingdom
"Banbury, Oxfordshire, Royaume-Uni",United Kingdom
"Bandung Area, West Java, Indonesia",Indonesia
"Bang Khen, Bangkok, Thailand",Thailand
"Bang Rak, Bangkok, Thailand",Thailand
"Bang Su, Bangkok, Thailand",Thailand
"Bangalore, Karnataka",India
"Bangkok Metropolitan Area, Thailand",Thailand
Bangladesh,Bangladesh
"Bangor, Maine",United States
"Bangor, Maine Area",United States
Bank of America Merrill Lynch,Unknown
"Bankeryd, Jönköping County, Sweden",Sweden
"Banksmeadow, New South Wales, Australia",Australia
"Bannockburn, IL   UNITED STATES",United States
"Banstead, Surrey, Royaume-Uni",United Kingdom
"Banten Province, Indonesia",Indonesia
"Bar Harbor, Maine",United States
"Baraboo, Wisconsin",United States
"Barangaroo, New South Wales, Australia",Australia
Barbade,Unknown
Barbados,Unknown
"Barberton, Ohio",United States
"Barcelona Area, Spain",Spain
"Barcelona,    SPAIN",Spain
"Barcelona,    SPAIN",Spain
"Barcelona, A   SPAIN",Spain
"Barcelona, B   SPAIN",Spain
"Barcelona, Catalonia, Spain",Spain
"Barcelona, es",Spain
"Bardon, Queensland, Australia",Australia
"Barendrecht, South Holland Province, Netherlands",Netherlands
"Bari Area, Italy",Italy
"Bari et alentours, Italie",Italy
"Bari, Apulia, Italy",Italy
"Barletta, Apulia, Italy",Italy
"Barnstable/Yarmouth, Massachusetts Area",United States
"Barretos Area, Brazil",Brazil
"Barrie, Ontario, Canada",Canada
"Barrington, IL   UNITED STATES",United States
"Barrington, Illinois",United States
"Barrowford, Lancashire, Royaume-Uni",United Kingdom
"Barrowford, Lancashire, United Kingdom",United Kingdom
"Bartlesville, Oklahoma",United States
"Bartlett, Illinois",United States
"Barton on Sea, Hampshire, Royaume-Uni",United Kingdom
"Barton, Australian Capital Territory, Australia",Australia
"Barton-under-Needwood, Staffordshire, Royaume-Uni",United Kingdom
"Bartow, Florida",United States
"Barueri, São Paulo, Brazil",Brazil
"Barueri, São Paulo, Brésil",Brazil
"Barzano?, Lombardy, Italy",Italy
"Basel 2 Annahme, Canton of Basel-Stadt, Switzerland",Switzerland
"Basel Area, Switzerland",Switzerland
"Basel Dist Ba, Canton of Basel-Stadt, Switzerland",Switzerland
"Basel, Canton of Basel-Stadt, Switzerland",Switzerland
"Bashaw, Alberta, Canada",Canada
"BASINGSTOKE,    UNITED KINGDOM",United Kingdom
"Basingstoke, Hampshire, Royaume-Uni",United Kingdom
"Basingstoke, Hampshire, United Kingdom",United Kingdom
"Basking Ridge, New Jersey",United States
"Basking Ridge, NJ   UNITED STATES",United States
"Bassano Del Grappa, Veneto, Italy",Italy
"Bassendean, Western Australia, Australia",Australia
"Båstad, Skåne County, Sweden",Sweden
"Bastrop, Texas",United States
"Batavia, Illinois",United States
"Batesville, Arkansas",United States
"Batesville, Indiana",United States
"Batesville, Mississippi",United States
"Bath, Bath Avon, United Kingdom",United Kingdom
"Bath, Michigan",United States
"Bath, Pennsylvania",United States
"Bath, Royaume-Uni",United Kingdom
"Bath, United Kingdom",United Kingdom
"Bathgate, West Lothian, Royaume-Uni",United Kingdom
"Bathinda, Punjab, India",India
"Baton Rouge, LA   UNITED STATES",United States
"Baton Rouge, Louisiana",United States
"Baton Rouge, Louisiana Area",United States
"Bauru, São Paulo, Brésil",Brazil
"Bavel (gemeente Breda), North Brabant Province, Netherlands",Netherlands
"Bay City, Michigan",United States
"Bay of Plenty, New Zealand",New Zealand
"Bay Village, Ohio",United States
"Bayern, Germany",Germany
"Bayreuth, Bavaria, Germany",Germany
"Bayside, California",United States
"Bayswater, Victoria, Australia",Australia
"Be?er Sheva Area, Israel",Israel
"Be?ikta?, Turkey",Turkey
"Beach, OH   UNITED STATES",United States
"Beachwood, OH   UNITED STATES",United States
"Beachwood, Ohio",United States
"BEACHWOON, OH   UNITED STATES",United States
"Beaconsfield, Buckinghamshire, Royaume-Uni",United Kingdom
"Beaconsfield, Buckinghamshire, United Kingdom",United Kingdom
"Beaconsfield, QC   CANADA",Canada
"Beaconsfield, Quebec, Canada",Canada
"Bearsden, East Dunbartonshire, Royaume-Uni",United Kingdom
"Bearsted, Kent, Royaume-Uni",United Kingdom
"Beaulieu, Hampshire, United Kingdom",United Kingdom
"Beaumont, Texas",United States
"Beaumont/Port Arthur, Texas Area",United States
"Beaverton, OR   UNITED STATES",United States
"Beaverton, Oregon",United States
"Bebedouro, São Paulo, Brésil",Brazil
"Beckenham, Greater London, Royaume-Uni",United Kingdom
"Beckley, Oxfordshire, Royaume-Uni",United Kingdom
"Bedford Hills, New York",United States
"Bedford Hills, NY   United States",United States
"Bedford Road, Victoria, Australia",Australia
"Bedford, Bedfordshire, Royaume-Uni",United Kingdom
"Bedford, MA   UNITED STATES",United States
"Bedford, Massachusetts",United States
"Bedford, New Hampshire",United States
"Bedford, NH   UNITED STATES",United States
"Bedford, Nova Scotia, Canada",Canada
"Bedford, Texas",United States
"Bedford, TX   UNITED STATES",United States
"Bedford, Virginia",United States
"Bedminster, NJ   United States",United States
"Beelen, North Rhine-Westphalia, Germany",Germany
"Beetsterzwaag (Beetstersweach), Friesland Province, Netherlands",Netherlands
"Begijnendijk, Flandre, Belgique",Belgium
"Beijing City, China",China
"Beirut, Lebanon",Lebanon
"Bekkestua, Akershus, Norway",Norway
"Bel Air, Maryland",United States
Belarus,Belarus
"Belcamp, MD   UNITED STATES",United States
"Belém, Pará, Brésil",Brazil
"Belfast, Belfast, United Kingdom",United Kingdom
"Belfast, Royaume-Uni",United Kingdom
"Belfast, United Kingdom",United Kingdom
